Source,Date,sentence1,Category,label
Prothom Alo,2018-02-08 00:00:00,"বাংলাদেশে মুশফিক তামিম, রিয়াদ, সাকিব বাদে আর কোনো প্লেয়ার নাই।যেটা শ্রীলংকাই আছে",team,negative
BBC Bangla,2018-06-03 00:00:00,জয় বাংলা কাপ! তাও আবার স্বাধীনতার মাস মার্চে। যার মাথা থেকে এমন চমৎকার আইডিয়া এসেছে তালে স্যালুট,other,positive
BBC Bangla,29/1/2018,"সাকিব, তামিম, মুশফিক দল থেকে বিদায় নিলে নেপালের কাছে হোয়াটওয়াশ হতে হবে। ",team,negative
Prothom Alo,2018-10-02 00:00:00," আপোক্ত রিপোর্টার, সাকিব না থাকায়, দলের সমস্যা হয়েছে ",other,negative
Prothom Alo,2018-10-02 00:00:00,পীর বাবার ভক্তরা বাবার নুনুর পানি খেয়ে পবিত্র হয়ে নিন পীর বাবা সোদা খা,other,negative
Prothom Alo,2018-08-02 00:00:00,চার বছর পর ফিরেছেন ঠিক তবে এক ম্যাচের জন্য না নিয়ে কয়েকটা ম্যাচ সুযোগ দিতে হবে।,bowling,positive
Prothom Alo,2018-09-02 00:00:00,"ওর (মিরাজ) মাথায় মাল উঠেছে, ওরে পাবমসয় পাঠানো দরকার।",other,negative
Prothom Alo,2018-04-02 00:00:00,ওয়ানডেতে নেওয়া হোক মমিনুলকে,batting,negative
Prothom Alo,2018-11-02 00:00:00,"চলেন আমরা নান্নু,সুজইন্নার ঘর বাড়ি জ্বালাই ",other,negative
Prothom Alo,2018-10-02 00:00:00,এই ম্যাচ বাংলাদেশ জিতবে -যারা এমনটা আশা করেন তারা কল্পলোকের বাসিন্দা। ,batting,negative
Prothom Alo,2018-05-02 00:00:00,২০৩ রানের ব্যবধানে! চিরপ্রতিদ্বন্দ্বী ভারতের বিপক্ষে ৬৯ রানে অলআউট হয়ে যাওয়াটাও একটা যন্ত্রণা। ,bowling,negative
BBC Bangla,29/1/2018, কমপক্ষে ৮ জন বেট্সমেন লাগবে।,batting,positive
Prothom Alo,2018-02-08 00:00:00,যেমন ঘামান নি হাতুরু নিজেই।,other,negative
Prothom Alo,2018-04-02 00:00:00," আশংকা ও চাপের মুখে ম্যাচ বাঁচাতে পারায় মমিনুল হক, লিটন ও মাহমুদ উল্লাহ কে অভিনন্দন।",other,positive
BBC Bangla,30/1/2018,হাতুরুকে নিয়ে মাত্রাতিরিক্ত ভাবাভাবির কিছু নেই।,team management,negative
Prothom Alo,2018-11-02 00:00:00,কোচের পাশাপাশি দেশের বাইরে থেকে নির্বাচক কমিটি নিয়োগ দেওয়া উচিত। বর্তমানে যারা এই দায়িত্ব পালন করছেন তারা খুব জঘন্য!,team management,negative
Prothom Alo,2018-06-02 00:00:00,"আফিফরাইতো আমাদের আগামীদিনের সাকিব,তামিম।",team,positive
Prothom Alo,2018-08-02 00:00:00,বৃক্ষ তোমার নাম কি ফলে পরিচয়। এটার প্রমাণ আবারো দিলেন বাঁহাতি বোলার রাজ্জাক।,bowling,positive
Prothom Alo,2012-08-04 00:00:00,বাংলাদেশ ১৬০ রানে আউট হয়ে যাবে ,batting,negative
Prothom Alo,2018-06-02 00:00:00,"আফিফদেরইতো আগামীতে বিশ্বেসেরা সাকিব,তামিম,মাশরাফি,মুশফিকদের শূণ্যস্থান পূরণ করতে হবে",team,positive
Prothom Alo,2018-11-02 00:00:00, মিনাজুল হলো আবাল,team management,negative
Prothom Alo,2018-10-02 00:00:00, কি সুন্দর যুক্তি বাহ অসাধারণ,other,negative
Prothom Alo,2018-06-02 00:00:00, মাশরাফিকে সাতবার ডেবিড ইয়াং বাঁচান নি বরং আল্লাহই বাঁচিয়েছেন।।।,other,negative
BBC Bangla,25/1/2018, দল জেতায় সাকিব কিছু আবালরা ক্রেডিট দেয় মাশরাফিরে,bowling,negative
Prothom Alo,2018-10-02 00:00:00,যেমন খেলা তেমন যুক্তি! অদ্ভুত।,other,negative
Prothom Alo,2018-10-02 00:00:00,সবই বুঝলাম কিন্তু কলকাতা ক্রিকেটের কী অবস্থা একটু যদি জানাতেন ।,other,negative
Prothom Alo,2018-10-02 00:00:00,আমার মতে ওপেনিক রাজ্জাক - মুস্তাফিজে সাথে শুরু করা ভাল,bowling,negative
Prothom Alo,2018-10-02 00:00:00,স্বজন পোষন এবং আধবুড়ো ঢ্যামনাগুলোকে ছেটে ফেলতে হবে।,other,negative
Prothom Alo,2018-09-02 00:00:00,দেয়ার ইস কোন ব্যাপার না।টার্গেট সাড়ে তিনশ হবে আর আমরা তা নিয়ে নিবো।ইনশাল্লাহ,other,negative
BBC Bangla,2018-08-02 00:00:00,"এ আর নতুনকি, বাংলাদেশের ক্রিকেট মানেই,সজন প্রিয়জন ,,",team management,negative
Prothom Alo,2018-07-02 00:00:00,মোসাদ্দেককে না নি‌লে চরম ভুল সিদ্ধান্ত হ‌বে,team management,neutral
Prothom Alo,2018-10-02 00:00:00,এমন আবাল জিবনে এই প্রথম দেখলাম ।,other,negative
Prothom Alo,2018-10-02 00:00:00,জুমআর দিন তাই তোর মাকে পতিতা বললাম না।।,other,negative
Prothom Alo,2018-09-02 00:00:00, সুজনের মতো এতো ভালো কোচ থাকতে নতুন কোচের কি দরকার ,team management,negative
Prothom Alo,2018-08-02 00:00:00, শিরোনাম দেখে ভাবলাম রাজ্জাক মনে হয় ৪-৫ উইকেট নিয়ে ফেলেছে?,bowling,negative
Prothom Alo,2018-02-08 00:00:00," প্রথমত,রানটা ৩০০ না।এটা ৩৫০ বা তার কাছাকাছি যাবে।",batting,neutral
Prothom Alo,2018-08-02 00:00:00, লিড নিতে হলে আক্রমন্তাক খেলতে হবে মুশফিকের মত ২২বলে ১ রান করে কোন লাভ নেই।,batting,negative
BBC Bangla,2018-08-02 00:00:00, নিজের মাটিতে সালারা এটা খেলা,team,negative
BBC Bangla,25/1/2018," যখন ব্যাটে বোলিংয়ে দুই একজনে ম্যাচ জেতায়, তখন তার কৃতিত্ব পায় অষ্টম বীরশ্রে",bowling,negative
Prothom Alo,2018-10-02 00:00:00,"নান্নু সোনার বাল নির্বাচক, গ্রেরামে গোপর তোয়া নান্নু",team management,negative
Prothom Alo,2018-10-02 00:00:00,এদের দিয়ে খেলা হবে জেতা হবে না ..এরা যতো সুযোগ সুবিধা পাচ্ছে তেমন খেলছে কি ।।,team,negative
Prothom Alo,2018-08-02 00:00:00, ঐ সব হ্লার পোলারা কই যারা বলে রাজ্জাক টেষ্টে ভাল করতে পারে না?,bowling,negative
BBC Bangla,2018-08-02 00:00:00," সে সেরা,তাই সে ফিরলো সেরাদের মতো।ওয়েলকাম লিজেন্ড আবার দেখিয়ে দাও তুমি কে!",bowling,positive
Prothom Alo,2018-08-02 00:00:00, ভাল উদ্দোগ! রাজ্জাকের অভিজ্ঞতার মূল্য দিলেই হয়,other,positive
Prothom Alo,2018-10-02 00:00:00,সায়েম রহমান তুই একটা বাষ্টাড মাদারছোদ তোর বাড়ি কই,other,negative
Prothom Alo,2018-10-02 00:00:00,"আমি বুঝি না সাব্বিরের কি টয়লেট ক্লিয়ারলি হয় না, যখনই উইকেটে ব্যাট করতে যাই হেগেমুতে চলে আ",batting,negative
Prothom Alo,2018-02-08 00:00:00,অামার মনে হয়....! বিসিবির এই মুহূর্তে ক্রিকেটার দের কোচ না নিয়োগ করে টিম ম্যানেজমেন্টদের জন্য কোচ নিয়োগ দেওয়াৃ জরুরি,team management,negative
Prothom Alo,25/1/2018,সংবাদ সমল্মেনে এসে জাতীয় বীর ম্যাশের সহজ কথা- আমরা খেলেছি বোলিং পিচে কিন্তু তারা খেলেছে ব্যাটিং পিচে।,bowling,negative
BBC Bangla,15/6/2018, সত্যি সত্যিই ছিলো বাঘ আমাদেরই চাপে হয়ে গেলো বেড়াল l,team,negative
Prothom Alo,2018-10-02 00:00:00,সুজনের মতো আকাইম্মা এক লোক টীম ডিরেক্টর কিভাবে হয়।এই আকাইম্মারে ধান কাটার বদলা হিসেবে ও কেউ নিবেনা।,team management,negative
Prothom Alo,2012-08-04 00:00:00,জলাবদ্ধতা আর পাহাড় কাটা অনেক পরিমানে দূর হলে চট্টগ্রাম ফুটবল/ক্রিকেটে ভালো দেখাতে পারতো।,other,negative
Prothom Alo,2018-02-08 00:00:00,"এই উইকেটে ৪০০ ও চেজ করা সম্ভব"" বাণীতে ষাঁড় ",batting,negative
Prothom Alo,2018-07-02 00:00:00,"বাংলাদেশের সমস্যা হল ধৈর্য নাই ব্যাটিংয়ে,শুধু ছক্কা মারার লোভেই সর্বনাশ হয়।",batting,negative
Prothom Alo,2018-11-02 00:00:00,সাকিব মিনহাজুল কি জানতো না জানতো এসব ফালতু তত্ত্ব দিয়ে জনতার কি উপকার হবে।,other,negative
Prothom Alo,2018-10-02 00:00:00,সোনার ছেলারা কনডিশনে খাপ খাওয়াতে পারে নি।,other,negative
Prothom Alo,2018-10-02 00:00:00,২০০ রানের হার।,batting,negative
Prothom Alo,2018-02-08 00:00:00,আসার সাথে সাথে কিভাবে টিম শ্রীলংকাকে বদলে দিল....আমার দের দেশে কিছু বলদ আছে যারা বাংলাদেশ টিমের উন্নতি তে হাতুরির quality খুজে পাই না,team,positive
Prothom Alo,2018-10-02 00:00:00,পীরবাবাকে সম্মান দিয়ে কথা বলুন । পীরবাবার সাতটা সার্জারি না হলে পীরবাবা ৫০ বার ৫ উইকেট নিতেন,other,negative
Prothom Alo,2018-08-02 00:00:00,শুরুতেই উইকেট পেয়েছেন। আমি তাঁর আরো সাফল্য কামনা করি। তাঁর এই দলে ফেরাটা সার্থক হোক।,bowling,positive
Prothom Alo,2018-09-02 00:00:00,১০০ রান করার যোগ্যতা অাছে?,batting,negative
Prothom Alo,2018-10-02 00:00:00,এজন্যইতো ৩ বলে ০ রান করে ম্যাওর বাচ্চা,batting,negative
Prothom Alo,2018-10-02 00:00:00," বিসিবিতেযে কিছু একটা চলছে,এই নিউজই সেটার প্রমাণ।আমরা আমাদের ক্রিকেটকে বিপণী-বিতান করে তুলছিনাতো?",team management,negative
BBC Bangla,2018-08-02 00:00:00," টস হারছে মানে, হারার সম্ভবনাই বেশী।",team,negative
Prothom Alo,13/12/2017,বগুড়ার শহীদ চান্দু স্টেডিয়ামসহ অন্যান্য বিভাগীয় মাঠে তাই আগামীতে আয়োজন করা হউক।,other,neutral
Prothom Alo,2018-11-02 00:00:00, ফালতু তত্ত্ব জনতার মাথায় ভরে তোরা মিডিয়া টাকা কামাছ,other,negative
Prothom Alo,2018-10-02 00:00:00,এ বাল মার্কা খেলারও কি পরিমান মুরিদ আছে জানেন!?,other,negative
BBC Bangla,2018-08-02 00:00:00,২ম ইনিংসে পিচের রাফ জায়গা ও ফাটল গুলো বড়ো হবে বাংলাদেশের উচিত ২০০-২৩০ এর মধ্যে আটকে রাখা,team,positive
BBC Bangla,25/1/2018,নাসির আনামুল রিয়াদ কি প্রতেক ম্যাচে ভালো খেলবে?,batting,positive
Prothom Alo,2018-10-02 00:00:00,একবার আহব্বান করলে আমরা সাধারণ জনগন যে কোন কন্ডিশননে খেলতে প্রস্তুত।।,other,negative
Prothom Alo,2018-02-08 00:00:00,"শ্রীলংকার জেতা উচিৎ, কারন তারা ভালো খেলছে।",team,positive
Prothom Alo,2018-08-02 00:00:00," ৪বছর অপেক্ষার পর যেহেতু জাতীয় দলে খেলার সুযোগ হয়েছে, আশা করি রাজ্জাক সুযোগ কাজে লাগিয়ে তার জায়গা ধরে রাখবে।",bowling,neutral
BBC Bangla,29/1/2018, সব জানা হয়ে গেছে কি হবে।,other,negative
Prothom Alo,2012-08-04 00:00:00,পেছন দিয়ে বের হয়ে গেছে মিরপুর ৷,other,negative
Prothom Alo,2018-10-02 00:00:00,তুই একটা হারামজাদা,other,negative
Prothom Alo,2018-08-02 00:00:00, হেরাথ বল করলে বুঝা যাবে,bowling,negative
Prothom Alo,2018-10-02 00:00:00,বাংলাদেশের উচিত স্বেচ্ছায় জিম্বাবুয়ের মতো টেস্ট ক্রিকেট থেকে নির্বাসনে যাওয়া!ফাইজলামীর একটা লিমিট আছে!,team,negative
Prothom Alo,2018-10-02 00:00:00,সালা মিনহাজ আর কত বুঝাবি দেশের ক্রিকেটপ্রমী মানুষদের।,team management,negative
Prothom Alo,2018-10-02 00:00:00,তা নাহলে গেটের দারোয়ানের চাকুরী নেন তাহলে বুঝবেন পেশাদারিত্ব কি?,other,negative
BBC Bangla,2018-08-02 00:00:00,রাজ্জাক রাজ্জাকের মতোই ফিরে আসছে।,bowling,negative
Prothom Alo,2018-10-02 00:00:00,সাব্বিরকে টেস্টে কি জন্য নেওয়া হচ্ছে তা মাথায় আসে না। ,batting,negative
Prothom Alo,2018-10-02 00:00:00,কিছু দিন এর মধো আফগানিস্তান এর সাতে নিয়মিত হারবে। ipl এর দিকে দেখেন ৪ জন,team,negative
Prothom Alo,2018-08-02 00:00:00,হিরা সবাই। ছিনেনা ।,bowling,negative
Prothom Alo,2018-07-02 00:00:00,মোসাদ্দেকের জায়গায় সাব্বির কিভাবে চান্স পায়।,batting,negative
Prothom Alo,2018-10-02 00:00:00,বাংলাদেশ হারায় সবচেয়ে খুশী একজন! সেটা হচ্ছে পীরবাবা ম্যাছরাফি !,team,negative
Prothom Alo,2018-10-02 00:00:00, হেতিরে কেউ ধরেন ভাই,other,negative
Prothom Alo,2018-02-08 00:00:00,আমি অনেকবার বলেছি আমাদের টিমে মনোসংযোগ নিয়ে কাজ করার জন্য কাউকে নিয়োগ এখন সময়ের দা,other,negative
Prothom Alo,2018-10-02 00:00:00,মামুর পোলারা কোচের বদ নাম করো এবার কোচ কি জিনিস দেখাই দিচে হাতুরে সিং ।,other,negative
Prothom Alo,2018-10-02 00:00:00,নেটে আরো ভালো প্রশিক্ষণ নিলেই আমরা ভালো কি জয় দেখতে পারবো,team management,negative
Prothom Alo,2018-05-02 00:00:00,ভয়হীন ক্রিকেট খেলে আফিফ,batting,positive
Prothom Alo,2018-10-02 00:00:00, সাকিবের বিরোধিতার জন্য তোরা তো একজনকে খুটি বানিয়েছিস মাত্র,other,negative
Prothom Alo,2018-11-02 00:00:00,পাপন তো আগলা বলদ।,team management,negative
Prothom Alo,2018-10-02 00:00:00,সাব্বির কোন টেস্ট প্লেয়ার নো। তাকে কেনো নেওয়া হলো টেস্টে।,batting,negative
Prothom Alo,2018-11-02 00:00:00,"এরা সব বেহায়া,আর মানুষিক বৈকল্য ধারী । না হলে এধরণের উদ্ভট যুক্তি দিতে পারে কোন ক্রিকেট বোধ সম্পন্ন ব্যাক্তি ?",other,negative
Prothom Alo,2018-09-02 00:00:00,"গ্যারি কারস্টেনের জন্য যত টাকা লাগুক, উনার বিকল্প নেই।",other,positive
Prothom Alo,14/10/2017,"আচ্ছা, এসব ফ্রানচাইজীরা এসব টাকা পায় কোথা থেকে?",other,neutral
Prothom Alo,2018-08-02 00:00:00,অবশ্যই রাজ্জাক দলের সেরা খেলোয়াড,bowling,positive
Prothom Alo,2018-02-08 00:00:00, প্যাট মোটাটা কয়েকদিন থাকলে বাংলাদেশ সোমালিয়ার সাথে হারবে।,other,negative
Prothom Alo,25/1/2018,শুভকামনা টাইগারদের জন্য।,team,positive
Prothom Alo,2018-10-02 00:00:00,তুশার ইমরানকে আনা হোক।,batting,neutral
Prothom Alo,2018-10-02 00:00:00,আমি মজা পাচ্ছি।অতি সন্যাসিতে গাজন নষ্ট বলে একটা কথা আছে,other,negative
Prothom Alo,2018-08-02 00:00:00,বাংলাদেশ ভালো দল।,team,positive
Prothom Alo,2018-08-02 00:00:00, তুষার ইমরানকেও দলে সুযোগ দেওয়া উচিত,bowling,positive
BBC Bangla,2018-08-02 00:00:00,হাথুরু কে রানিং বিটউইন দ্যা উইকেটের শিক্ষা দিল মুমিনুল,team management,negative
Prothom Alo,2018-10-02 00:00:00,ওরে দিয়া কিচ্ছু হবেনা এখন একটা বিয়া দিয়ে দাও।,other,negative
Prothom Alo,2018-08-02 00:00:00," বাংলাদেশ উপেক্ষা করেনি, করেছে হাতুরাসিংহে। ",other,negative
Prothom Alo,2018-09-02 00:00:00,"যদিও কাজটা বেশ কঠিন।তবে তামিম,মমিনুল দাঁরিয়ে গেলে আসম্ভব্য নয়",batting,negative
Prothom Alo,2018-08-02 00:00:00, আগে বাংলাদেশের ব্যাটিংদেখি তারপরে তোরা লাফাইচ বাবা।,team,negative
Prothom Alo,2018-10-02 00:00:00,মাগির পুত শালা তো এক ফরমেটেও চলে না,other,negative
Prothom Alo,2018-10-02 00:00:00, দেখে দেব ব্যাটিং এসে আমরা বাঘের বাচ্চা,batting,negative
BBC Bangla,25/1/2018, বাংলাদেশ টিম থেকে চিরতরে আনামুল আর নাসির কে বাদ দেওয়া উচিৎ,team,negative
Prothom Alo,19/1/2018,টাইগারদের এই জয়টা হাতুরুকে উৎসর্গ করা উচিৎ।,team,positive
Prothom Alo,2018-11-02 00:00:00,এখন ও সময় আছে।। বাংলাদেশ এর ক্রিকেট কে বাঁচাতে নান্নু এর জায়গায় অন্য কেও কে বসানো হোক।।,team management,negative
BBC Bangla,25/1/2018," আজকের হার নিয়ে কোনো মন্তব্য করা ইসলাম বিরোধী কারন দলে কোনো কাফের খেলোয়ার ছিলো না, যেমনঃ সৌম্য, লিটন",other,negative
Prothom Alo,2018-08-02 00:00:00,ভালো লাগলো তবে জাতীয় দলে যারা খেলে তাদের অবসর সময়/ বাদ দেয়ার সময় ভালভাবে যেন ব্যবহার করা হয়,other,negative
Prothom Alo,2018-06-02 00:00:00, টেস্ট সিরিজ ২--১ হারা ভারত ওয়ানডেতে মধুর প্রতিশোধ নিচ্ছে,team,positive
Prothom Alo,2018-08-02 00:00:00, পিচ ভালো না হলে রান করা কঠিন ,batting,neutral
Prothom Alo,2018-10-02 00:00:00,গরুর পেটে গরুই হয়.. আবাল কোথাকার টি২০র প্র্যাকটিস ,other,negative
Prothom Alo,2018-10-02 00:00:00, আমরা এখনো আশাবাদী যে বাংলাদেশ জিতবে. সেই স্বপ্ন নিয়ে খেলা দেখবো. ইনশাল্লাহ জিতবে,other,negative
Prothom Alo,2018-10-02 00:00:00,"আসলে তার সমন্ধে আমাদের ভুল ধারণা ছিল তা প্রমাণ করে দিলেন পাপন, সুজন রা",team management,negative
Prothom Alo,2018-02-08 00:00:00,ইন্ডিয়া এবং ইন্ডিয়ান ক্রিকেট রাজনীতি এবং দল নির্বাচনে অনেক স্বচ্ছ,other,positive
Prothom Alo,2018-10-02 00:00:00,মাশরাফি তাকলে বাংলাদেশের কোন স্কোয়াডে এই একাদশির পারবে না। ,team,negative
BBC Bangla,16/1/2018,নিজের দেশ যদি কোন কালে নাও পারে তবুও number 1* ফেবারিট আমি সব সময় ভাবি আমরা জয,team,negative
Prothom Alo,2018-02-08 00:00:00,"স্পোর্টিং পিচ তৈরি করে খেলতে হবে,যারা ভাল করবে তারাই জিতবে।",team,neutral
Prothom Alo,2018-08-02 00:00:00,"চন্ডিকা হাতুরেসিং চোখে আঙ্গুল দিয়ে বুজিয়ে দিলেন যে, শিষ্য যতই বড় হোক না কেন তা সব সময় গুরুর পায়ের নিচেই থাকে।",other,negative
Prothom Alo,2018-08-02 00:00:00,হালার আমাদেরি লজ্জা নেই***কেন আমরা টাইগারদের খেলা দেখি*** একটা কথা আছে নাচতে ন জানলে উঠান বাঁকা,other,negative
Prothom Alo,2018-11-02 00:00:00,এক কাজ কর তুই আর তর বাপ মিলে নাম তাহলে আরো ভালো হইবে,other,negative
Prothom Alo,2018-02-08 00:00:00,"বাংলাদেশে মুশফিক তামিম, রিয়াদ, সাকিব বাদে আর কোনো প্লেয়ার নাই।যেটা শ্রীলংকাই আছে",batting,negative
Prothom Alo,2018-08-02 00:00:00,খুব গুরুত্ব পূর্ন একটি ভাল সিদ্ধান্ত রাজ্জাক ভাইকে ফিরিয়ে আনার জন্য ।,team management,positive
Prothom Alo,2018-08-02 00:00:00, চার আউটের মধ্যে একমাত্র ইমরুলের আউট টা মেনে নেয়া যায়। বাকিগুলার ৩ মাসের বেতন বন্ধ করে দেয়া উচিৎ।,batting,negative
Prothom Alo,2018-09-01 00:00:00,সুজন সাহেবের মতো ম্যানেজার থাকলে এমনই তো হবার কথা।,team management,negative
Prothom Alo,2018-02-08 00:00:00,কারণ উইকেটের সুবিধা পেতে হলে নিজেদের শক্তিশালী দিক গুলোতে প্রতিপক্ষের দিক থেকে এগিয়ে থাকতে হয় ,other,positive
Prothom Alo,2018-11-02 00:00:00,শুনলাম তিনি নাকি ঢাকা প্রিমিয়ার লিগে ব্যাটে ও বলে ঝড় তুলছেন ।,batting,negative
Prothom Alo,2018-10-02 00:00:00,কোথাই গেলো BCB এর হাই পারফ্রম্যান্স ইউনিট,team management,negative
Prothom Alo,2018-10-02 00:00:00,"ম্যাচ হারলে অাম্পায়ার, পিচ,কোচ অারো কত ষড়যন্ত্র!! ",other,negative
Prothom Alo,2018-10-02 00:00:00,একেই বলে হাতুরু যাও আগে দেশে জিততাম সেটাও শেষ..সে যে কি ছিল এখন আমাদের বাংলাদেশীরা বুজবে,other,negative
Prothom Alo,2018-07-02 00:00:00, সাব্বির রহমান কি বাদ পড়ার পরে কি ভাল খেলেছে?,batting,negative
Prothom Alo,2018-08-02 00:00:00,ইমরুল খারাপ ফর্মে থাকা অবস্থায় তাকে নেওয়া হয়তেছে অথচ শাহরিয়ার নাফিসকে সুযোগ দেওয়া হয়তেছে না।,batting,negative
Prothom Alo,2018-08-02 00:00:00, বিসিবি আর সুযোগ দেয় কিনা এব্যরে সন্দেহ আছে|,team management,negative
Prothom Alo,2018-10-02 00:00:00,বাংলাদেশের ক্রিকেট খেলা না দেইখা লুডু খেলা দেখাও অনেক ভালো,team,negative
Prothom Alo,2018-10-02 00:00:00,"গতিদানব সুজইন্ন্যা,নান্নু,পাপন সব বাইঞ্চুদের পদত্যাগ চাই।। ",team management,negative
Prothom Alo,23/1/2018,৫০ তে খুশি থাকেন আমাদের খেলোয়ারা।,team,negative
Prothom Alo,2018-04-02 00:00:00, সাকিবের জায়গায় মুমিনুলকে T20 দলে নেওয়া উচিত।,batting,negative
Prothom Alo,2018-08-02 00:00:00,"আমি শ্রী লংকার উইকেট পড়া দেখে বলেছিলাম , ওদের যদি এই হাল হয় তবে টাইগারদের কি হবে আল্লাহ জানে।",team,negative
Prothom Alo,2018-04-02 00:00:00,লিটন দাস এর হার না মানা 94 রানের লড়াই।,other,positive
Prothom Alo,2018-08-02 00:00:00,দ্বিতীয় ইনিংসে লিটন দাসের ট্রিপল সেঞ্চুরি চাই,batting,positive
Prothom Alo,2018-07-02 00:00:00, হাতুরের শ্রীলংকা বনাম মমিনুল হক। ,batting,negative
BBC Bangla,25/1/2018,গালিগালাজ কইরা হাতুরুসিংহে কে বের করার বড় খেসারত বাংলাদেশ কে দিতে হবে বিশ্বকাপে,team management,negative
BBC Bangla,25/1/2018,নাসিরের জায়গায় সাইফ উদ্দিন ভালো ব্যাটিং করবে যদি সে ব্যাটিংয়ে একটু বেশি মনযোগ দেয়।,batting,negative
Prothom Alo,2018-10-02 00:00:00,ওরা যেভাবে খেলায় উন্নতি করছি কয়দিন পর এশিয়ার মাঝে ২য় পরাশক্তি টিম হবে?,team,negative
Prothom Alo,2018-02-08 00:00:00,"মিরপুরের ক্রিকেট মাঠের পিচ, আর রাস্তার পিচ একই সমান ।",other,negative
Prothom Alo,2018-02-08 00:00:00,কেউ কেউ বলতে ও শুনেছি বাংলাদেশ কন্ডিশন এর কাছে হেরে গেছে!!,team,negative
Prothom Alo,2018-11-02 00:00:00, টি টুয়েন্টিতেও বাঁশ খাবে! দিন শেষে হাতুরের জয়! দলের কোচ হয়েই তিনটা ট্রফি!আর কি চাই!!,team,negative
Prothom Alo,2018-10-02 00:00:00,"বোর্ড তার মামা-খালু না, সে নিজ যোগ্যতাই খেলছে, আগে রেন্ডিয়াদের কাছ থেকে গালি শুনতাম আমাদের প্লেয়ারদের নামে, এখন নিজেদের মধ্যে বিভেদ হায়রে বাঙালী",other,negative
Prothom Alo,2018-06-02 00:00:00, আসল কথা হল মাশরাফি একজন ভাল মানুষ।,other,positive
Prothom Alo,2018-09-02 00:00:00,ভাল একটা কথা মনে পড়ছে সাকিব ও ম্যাশতো বাংলাদেশের কোচ।তাহলে তারা জাতীয় দলের সাথে নেই কেন,team,negative
Prothom Alo,2018-08-02 00:00:00, বিশ্বকাপ ছাড়া খেলা দেখি না তাই কে আসলো না গেল তা নিয়ে আবেগাপ্লুত নই ।,other,negative
Prothom Alo,2018-05-02 00:00:00, ভারতের সাথে যারা খেলে তারাই যাদু টোনাই পড়ে যাই। ,team,negative
Prothom Alo,2018-10-02 00:00:00,বাংলাদেশ ক্রমান্বয়ে উন্নতি করছে ১ম ইনিংসে ১১০ রান করলেও ২য় ইনিংসে ১২৩ রান করছে। চোখে পড়ার মত উন্নতি।,team,negative
Prothom Alo,2018-08-02 00:00:00, আমাদের দেশের ব্যাটসম্যানরা যে পিচে ব্যাট হাতে ছটফট করেছে শ্রীলংকান ব্যাটসম্যানরা সেই পিচেই ধৈর্য্যের পরিচয় দিয়েছে। নাচতে না জানলে উঠোন বাকা! ,batting,negative
Prothom Alo,2018-09-02 00:00:00,সাকিব ছাড়া বাংলাদেশ যে ডালভাত সেটাও আবারো প্রমাণিত হচ্ছে.,team,negative
Prothom Alo,2018-10-02 00:00:00,"নিলয় সবজায়গায় দেখি মাশরাফি নিয়ে বাজে কমেন্ট করিস আগে মাশরাফির পায়ের কাছে যেতে পারিস কিনা দেখ,সম্মান দিলে সম্মান পাওয়া যায়",other,negative
Prothom Alo,2018-07-02 00:00:00, রাজ্জাক কে এবার অন্তত দলে নিন বিসিবি..,team management,negative
Prothom Alo,2018-10-02 00:00:00," নিলয়, তুমি খেলা দেখলে এই কথা বলতে না,,,এখন তো প্রতি ম্যাচে প্রায়ই ম্যাশ এর রান রেট কম থাকে,",other,negative
Prothom Alo,2018-02-08 00:00:00,"বোলিং পিচ বানাইলে ব্যাটিং পারি না, ব্যাটিং পিচ বানাইলে বোলিং পারি না।",bowling,negative
Prothom Alo,2018-10-02 00:00:00,কানকির বাচ্চাদের আক্কেল বলতে কিছুই নাই সাব্বির বাল পেলাইছে সব নিয়ে যাবে এরা আর আমরা ললিপপ খাব!,other,negative
BBC Bangla,29/1/2018,ওদের রঙ্গনা হেরাত একাই যথেষ্ট।,team,negative
Prothom Alo,2018-07-02 00:00:00, হেরাথকে সামলাতে পারলে ফলাফল বাংলাদেশের পক্ষে আসতে পারে,bowling,negative
BBC Bangla,2018-08-02 00:00:00,রাজ্জাকের এমন পারফর্মেন্স দেখে কি এখন বিসিবির লজ্জাবোধ হয়না?,team management,negative
BBC Bangla,2018-08-02 00:00:00, দারুন। কেন যে থাকে বসিয়ে রাখা হয় বুঝি না।,bowling,negative
Prothom Alo,2018-09-02 00:00:00,হাতুড়েকে সারাজিবন রাখা সম্ভব ছিল।,team management,positive
Prothom Alo,2018-10-02 00:00:00,"কোথায় সাব্বির কোথায় মোসাদ্দেক... দুই এক ম্যাচ খেলা দেখে কমেন্ট করা বোকামি,,,",other,negative
Prothom Alo,2018-02-08 00:00:00,বাংলাদেশ হার হবার তিনটা কারন হবে ,team,negative
Prothom Alo,2018-10-02 00:00:00,শালা গাজাখুর নির্বাচক,team management,negative
Prothom Alo,2018-08-02 00:00:00,রাজ্জাকের ক্যারিয়ারটাই শেষ করে দিয়েছে ক্রিকেট সংসিলিষ্ট কর্তাদের ভুল সিদ্দান্ত।,bowling,negative
Prothom Alo,2018-11-02 00:00:00,"পাপন জা বলে তাই করে,মুসাদেক কে বাদ দিয়ে সাব্বিরকে দলে এর কারন কি",team management,negative
